"Nr OKW";"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Frekwencja";"% głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"% głosów ważnych";"Robert BIEDROŃ";"Krzysztof BOSAK";"Andrzej Sebastian DUDA";"Szymon Franciszek HOŁOWNIA";"Marek JAKUBIAK";"Władysław Marcin KOSINIAK-KAMYSZ";"Mirosław Mariusz PIOTROWSKI";"Paweł Jan TANAJNO";"Rafał Kazimierz TRZASKOWSKI";"Waldemar Włodzimierz WITKOWSKI";"Stanisław Józef ŻÓŁTEK";"Liczba obwodów"
2;"020101";"gmina miejska";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"62,91";"0,29";"35,85";"64,15";"0,00";"99,71";"2,43";"6,11";"34,92";"15,66";"0,17";"1,38";"0,07";"0,10";"38,80";"0,13";"0,23";23
2;"020102";"gmina wiejska";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"62,18";"0,40";"35,71";"64,29";"0,00";"99,60";"1,91";"7,31";"41,71";"17,57";"0,10";"1,70";"0,12";"0,07";"29,11";"0,12";"0,29";11
2;"020103";"gmina wiejska";"gm. Gromadka";"bolesławiecki";"dolnośląskie";"57,48";"0,49";"33,33";"66,67";"0,00";"99,51";"1,83";"6,46";"55,47";"10,61";"0,12";"2,19";"0,00";"0,16";"22,80";"0,12";"0,24";4
2;"020104";"gmina miejsko-wiejska";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"56,05";"0,54";"48,57";"51,43";"0,00";"99,46";"1,12";"7,25";"50,41";"20,34";"0,12";"1,58";"0,08";"0,15";"18,65";"0,09";"0,20";12
2;"020105";"gmina wiejska";"gm. Osiecznica";"bolesławiecki";"dolnośląskie";"55,41";"0,51";"20,00";"80,00";"0,00";"99,49";"2,68";"9,18";"41,89";"16,12";"0,03";"1,56";"0,07";"0,10";"27,87";"0,30";"0,20";7
2;"020106";"gmina wiejska";"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";"56,53";"0,43";"31,25";"68,75";"0,00";"99,57";"1,99";"6,01";"49,46";"15,03";"0,03";"1,56";"0,03";"0,24";"25,36";"0,05";"0,24";6
4;"020201";"gmina miejska";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"57,05";"0,26";"51,43";"48,57";"0,00";"99,74";"2,30";"5,98";"41,27";"15,69";"0,09";"1,26";"0,15";"0,14";"32,81";"0,09";"0,22";22
4;"020202";"gmina miejska";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"62,06";"0,37";"27,12";"72,88";"0,00";"99,63";"2,27";"5,93";"39,40";"12,73";"0,15";"1,47";"0,07";"0,20";"37,52";"0,12";"0,15";23
4;"020203";"gmina miejsko-wiejska";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";"54,82";"0,44";"33,33";"66,67";"0,00";"99,56";"2,37";"6,32";"47,48";"10,93";"0,17";"1,38";"0,15";"0,25";"30,55";"0,07";"0,32";9
4;"020204";"gmina miejska";"m. Piława Górna";"dzierżoniowski";"dolnośląskie";"55,67";"0,11";"33,33";"66,67";"0,00";"99,89";"1,95";"8,27";"48,60";"14,77";"0,15";"1,32";"0,11";"0,26";"24,21";"0,04";"0,33";3
4;"020205";"gmina wiejska";"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"62,13";"0,35";"25,00";"75,00";"0,00";"99,65";"1,87";"5,69";"51,84";"13,78";"0,13";"2,00";"0,04";"0,11";"24,31";"0,13";"0,09";13
4;"020206";"gmina wiejska";"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";"60,00";"0,34";"50,00";"50,00";"0,00";"99,66";"1,40";"5,84";"54,37";"13,31";"0,03";"1,94";"0,06";"0,14";"22,66";"0,03";"0,23";6
4;"020207";"gmina miejsko-wiejska";"gm. Niemcza";"dzierżoniowski";"dolnośląskie";"54,91";"0,67";"31,25";"68,75";"0,00";"99,33";"2,20";"6,14";"49,17";"12,37";"0,08";"1,57";"0,08";"0,21";"27,91";"0,17";"0,08";7
3;"020301";"gmina miejska";"m. Głogów";"głogowski";"dolnośląskie";"62,58";"0,26";"25,61";"74,39";"0,00";"99,74";"2,38";"5,91";"42,29";"14,24";"0,11";"1,66";"0,10";"0,14";"32,85";"0,10";"0,22";36
3;"020302";"gmina wiejska";"gm. Głogów";"głogowski";"dolnośląskie";"66,19";"0,43";"53,33";"46,67";"0,00";"99,57";"1,48";"6,12";"48,46";"14,00";"0,12";"1,65";"0,23";"0,06";"27,68";"0,12";"0,09";4
3;"020303";"gmina wiejska";"gm. Jerzmanowa";"głogowski";"dolnośląskie";"69,40";"0,37";"50,00";"50,00";"0,00";"99,63";"2,28";"6,41";"43,11";"16,24";"0,04";"2,43";"0,11";"0,18";"28,87";"0,11";"0,22";4
3;"020304";"gmina wiejska";"gm. Kotla";"głogowski";"dolnośląskie";"56,29";"0,42";"12,50";"87,50";"0,00";"99,58";"2,16";"5,68";"53,84";"11,88";"0,11";"1,42";"0,05";"0,05";"24,71";"0,00";"0,11";5
3;"020305";"gmina wiejska";"gm. Pęcław";"głogowski";"dolnośląskie";"56,76";"0,42";"0,00";"100,00";"0,00";"99,58";"3,88";"4,83";"64,74";"9,34";"0,10";"2,73";"0,00";"0,21";"14,06";"0,00";"0,10";2
3;"020306";"gmina wiejska";"gm. Żukowice";"głogowski";"dolnośląskie";"56,79";"0,33";"60,00";"40,00";"0,00";"99,67";"2,59";"6,56";"50,93";"16,25";"0,00";"2,45";"0,00";"0,20";"20,69";"0,20";"0,13";2
1;"020401";"gmina miejsko-wiejska";"gm. Góra";"górowski";"dolnośląskie";"54,99";"0,28";"34,78";"65,22";"0,00";"99,72";"2,24";"5,63";"45,41";"14,54";"0,10";"2,55";"0,07";"0,11";"29,11";"0,10";"0,14";11
1;"020402";"gmina wiejska";"gm. Jemielno";"górowski";"dolnośląskie";"52,51";"0,32";"0,00";"100,00";"0,00";"99,68";"1,37";"8,29";"60,14";"8,13";"0,16";"3,06";"0,08";"0,00";"18,76";"0,00";"0,00";3
1;"020403";"gmina wiejska";"gm. Niechlów";"górowski";"dolnośląskie";"53,04";"0,39";"25,00";"75,00";"0,00";"99,61";"2,12";"6,59";"60,48";"11,02";"0,30";"3,00";"0,10";"0,10";"15,99";"0,10";"0,20";4
1;"020404";"gmina miejsko-wiejska";"gm. Wąsosz";"górowski";"dolnośląskie";"52,89";"0,17";"20,00";"80,00";"0,00";"99,83";"1,52";"6,65";"51,61";"12,74";"0,17";"2,22";"0,10";"0,10";"24,69";"0,00";"0,20";5
2;"020501";"gmina miejska";"m. Jawor";"jaworski";"dolnośląskie";"60,53";"0,33";"36,11";"63,89";"0,00";"99,67";"2,26";"6,64";"45,54";"11,24";"0,11";"2,11";"0,15";"0,06";"31,59";"0,07";"0,22";14
2;"020502";"gmina miejsko-wiejska";"gm. Bolków";"jaworski";"dolnośląskie";"55,09";"0,40";"50,00";"50,00";"0,00";"99,60";"2,61";"5,92";"47,24";"11,35";"0,16";"2,73";"0,04";"0,13";"29,64";"0,02";"0,16";13
2;"020503";"gmina wiejska";"gm. Męcinka";"jaworski";"dolnośląskie";"60,34";"0,50";"50,00";"50,00";"0,00";"99,50";"1,47";"6,47";"56,28";"10,75";"0,00";"3,15";"0,13";"0,08";"21,50";"0,04";"0,13";4
2;"020504";"gmina wiejska";"gm. Mściwojów";"jaworski";"dolnośląskie";"58,06";"0,49";"11,11";"88,89";"0,00";"99,51";"1,52";"7,11";"48,24";"13,35";"0,16";"3,64";"0,05";"0,11";"25,77";"0,00";"0,05";3
2;"020505";"gmina wiejska";"gm. Paszowice";"jaworski";"dolnośląskie";"57,31";"0,43";"25,00";"75,00";"0,00";"99,57";"1,46";"6,86";"49,95";"9,57";"0,11";"4,81";"0,22";"0,11";"26,49";"0,00";"0,43";2
2;"020506";"gmina wiejska";"gm. Wądroże Wielkie";"jaworski";"dolnośląskie";"60,70";"0,47";"44,44";"55,56";"0,00";"99,53";"1,40";"6,81";"48,57";"10,50";"0,21";"7,02";"0,05";"0,16";"24,96";"0,26";"0,05";3
2;"020601";"gmina miejska";"m. Karpacz";"jeleniogórski";"dolnośląskie";"65,80";"0,20";"50,00";"50,00";"0,00";"99,80";"2,77";"4,30";"22,84";"17,04";"0,29";"1,86";"0,03";"0,13";"50,28";"0,23";"0,23";6
2;"020602";"gmina miejska";"m. Kowary";"jeleniogórski";"dolnośląskie";"56,83";"0,32";"40,00";"60,00";"0,00";"99,68";"1,94";"4,57";"32,89";"16,71";"0,11";"1,55";"0,06";"0,17";"41,45";"0,28";"0,26";7
2;"020603";"gmina miejska";"m. Piechowice";"jeleniogórski";"dolnośląskie";"61,84";"0,23";"14,29";"85,71";"0,00";"99,77";"2,14";"5,37";"31,62";"16,29";"0,23";"1,45";"0,13";"0,13";"42,37";"0,13";"0,13";4
2;"020604";"gmina miejska";"m. Szklarska Poręba";"jeleniogórski";"dolnośląskie";"66,23";"0,27";"50,00";"50,00";"0,00";"99,73";"2,54";"4,91";"29,30";"17,32";"0,11";"1,86";"0,08";"0,24";"43,32";"0,11";"0,22";8
2;"020605";"gmina wiejska";"gm. Janowice Wielkie";"jeleniogórski";"dolnośląskie";"61,40";"0,57";"25,00";"75,00";"0,00";"99,43";"2,35";"5,29";"33,06";"17,11";"0,24";"2,35";"0,14";"0,14";"39,07";"0,10";"0,14";5
2;"020606";"gmina wiejska";"gm. Jeżów Sudecki";"jeleniogórski";"dolnośląskie";"64,73";"0,32";"8,33";"91,67";"0,00";"99,68";"1,88";"4,79";"30,30";"15,82";"0,08";"1,48";"0,05";"0,00";"45,45";"0,03";"0,11";4
2;"020607";"gmina wiejska";"gm. Mysłakowice";"jeleniogórski";"dolnośląskie";"60,53";"0,36";"41,18";"58,82";"0,00";"99,64";"1,82";"5,03";"35,16";"15,71";"0,15";"1,82";"0,08";"0,13";"39,84";"0,15";"0,10";7
2;"020608";"gmina wiejska";"gm. Podgórzyn";"jeleniogórski";"dolnośląskie";"62,56";"0,46";"36,84";"63,16";"0,00";"99,54";"2,50";"5,64";"30,60";"16,28";"0,19";"2,03";"0,10";"0,15";"42,18";"0,12";"0,22";7
2;"020609";"gmina wiejska";"gm. Stara Kamienica";"jeleniogórski";"dolnośląskie";"55,82";"0,51";"25,00";"75,00";"0,00";"99,49";"2,99";"4,87";"37,29";"16,15";"0,09";"2,26";"0,13";"0,26";"35,54";"0,21";"0,21";5
2;"020701";"gmina miejska";"m. Kamienna Góra";"kamiennogórski";"dolnośląskie";"57,94";"0,42";"19,44";"80,56";"0,00";"99,58";"2,20";"5,10";"40,45";"12,99";"0,06";"1,41";"0,03";"0,22";"37,21";"0,12";"0,21";10
2;"020702";"gmina wiejska";"gm. Kamienna Góra";"kamiennogórski";"dolnośląskie";"61,63";"0,59";"28,00";"72,00";"0,00";"99,41";"1,84";"6,18";"43,23";"15,11";"0,17";"1,96";"0,19";"0,07";"30,86";"0,14";"0,26";8
2;"020703";"gmina miejsko-wiejska";"gm. Lubawka";"kamiennogórski";"dolnośląskie";"59,12";"0,33";"29,41";"70,59";"0,00";"99,67";"2,17";"5,31";"40,06";"13,80";"0,12";"1,97";"0,14";"0,16";"36,02";"0,08";"0,20";7
2;"020704";"gmina wiejska";"gm. Marciszów";"kamiennogórski";"dolnośląskie";"56,27";"0,40";"37,50";"62,50";"0,00";"99,60";"1,94";"6,08";"44,79";"14,25";"0,05";"2,14";"0,05";"0,05";"30,39";"0,00";"0,25";7
4;"020801";"gmina miejska";"m. Duszniki-Zdrój";"kłodzki";"dolnośląskie";"61,80";"0,42";"10,00";"90,00";"0,00";"99,58";"2,48";"6,85";"35,24";"15,14";"0,13";"1,18";"0,08";"0,25";"38,27";"0,13";"0,25";4
4;"020802";"gmina miejska";"m. Kłodzko";"kłodzki";"dolnośląskie";"60,16";"0,30";"50,00";"50,00";"0,00";"99,70";"2,28";"5,53";"37,85";"13,05";"0,13";"2,10";"0,10";"0,11";"38,45";"0,13";"0,27";19
4;"020803";"gmina miejska";"m. Kudowa-Zdrój";"kłodzki";"dolnośląskie";"64,55";"0,36";"26,32";"73,68";"0,00";"99,64";"2,20";"5,66";"38,03";"13,59";"0,09";"1,84";"0,17";"0,17";"38,00";"0,15";"0,09";7
4;"020804";"gmina miejska";"m. Nowa Ruda";"kłodzki";"dolnośląskie";"54,47";"0,33";"16,13";"83,87";"0,00";"99,67";"2,22";"5,99";"37,78";"13,20";"0,08";"1,55";"0,09";"0,11";"38,70";"0,12";"0,16";14
4;"020805";"gmina miejska";"m. Polanica-Zdrój";"kłodzki";"dolnośląskie";"62,55";"0,17";"50,00";"50,00";"0,00";"99,83";"1,84";"5,48";"37,32";"12,52";"0,08";"1,30";"0,08";"0,20";"40,88";"0,17";"0,11";4
4;"020806";"gmina miejsko-wiejska";"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";"58,58";"0,26";"30,43";"69,57";"0,00";"99,74";"1,87";"5,19";"45,33";"13,77";"0,08";"2,29";"0,14";"0,22";"30,83";"0,11";"0,18";18
4;"020807";"gmina wiejska";"gm. Kłodzko";"kłodzki";"dolnośląskie";"56,62";"0,29";"18,18";"81,82";"0,00";"99,71";"1,59";"5,63";"49,89";"13,11";"0,13";"3,82";"0,11";"0,14";"25,30";"0,08";"0,18";15
4;"020808";"gmina miejsko-wiejska";"gm. Lądek-Zdrój";"kłodzki";"dolnośląskie";"57,87";"0,57";"47,83";"52,17";"0,00";"99,43";"2,07";"5,91";"42,45";"13,23";"0,25";"2,25";"0,10";"0,22";"33,22";"0,10";"0,20";8
4;"020809";"gmina wiejska";"gm. Lewin Kłodzki";"kłodzki";"dolnośląskie";"59,00";"0,11";"0,00";"100,00";"0,00";"99,89";"2,47";"5,25";"40,73";"15,65";"0,11";"1,61";"0,00";"0,21";"33,87";"0,00";"0,11";2
4;"020810";"gmina miejsko-wiejska";"gm. Międzylesie";"kłodzki";"dolnośląskie";"58,05";"0,33";"9,09";"90,91";"0,00";"99,67";"2,25";"5,54";"42,39";"14,68";"0,09";"1,89";"0,03";"0,06";"32,77";"0,06";"0,24";9
4;"020811";"gmina wiejska";"gm. Nowa Ruda";"kłodzki";"dolnośląskie";"55,12";"0,31";"37,50";"62,50";"0,00";"99,69";"2,20";"5,00";"42,22";"16,77";"0,10";"2,05";"0,08";"0,22";"31,02";"0,10";"0,26";16
4;"020812";"gmina miejsko-wiejska";"gm. Radków";"kłodzki";"dolnośląskie";"56,16";"0,42";"41,18";"58,82";"0,00";"99,58";"2,10";"6,89";"45,20";"15,33";"0,27";"2,25";"0,05";"0,20";"27,32";"0,12";"0,25";8
4;"020813";"gmina miejsko-wiejska";"gm. Stronie Śląskie";"kłodzki";"dolnośląskie";"56,74";"0,42";"28,57";"71,43";"0,00";"99,58";"2,22";"5,15";"36,68";"14,94";"0,21";"2,43";"0,06";"0,15";"37,72";"0,15";"0,30";7
4;"020814";"gmina miejsko-wiejska";"gm. Szczytna";"kłodzki";"dolnośląskie";"57,46";"0,45";"13,33";"86,67";"0,00";"99,55";"2,16";"7,72";"38,83";"14,13";"0,15";"1,65";"0,06";"0,21";"34,82";"0,15";"0,12";6
3;"020901";"gmina miejska";"m. Chojnów";"legnicki";"dolnośląskie";"59,31";"0,45";"14,81";"85,19";"0,00";"99,55";"1,84";"7,44";"44,13";"12,00";"0,12";"1,60";"0,08";"0,13";"32,39";"0,10";"0,17";6
3;"020902";"gmina wiejska";"gm. Chojnów";"legnicki";"dolnośląskie";"59,03";"0,32";"42,86";"57,14";"0,00";"99,68";"1,76";"6,44";"55,99";"10,50";"0,14";"2,61";"0,14";"0,16";"22,07";"0,05";"0,14";8
3;"020903";"gmina wiejska";"gm. Krotoszyce";"legnicki";"dolnośląskie";"62,70";"0,31";"60,00";"40,00";"0,00";"99,69";"1,94";"8,74";"54,74";"10,24";"0,06";"1,62";"0,06";"0,00";"22,47";"0,06";"0,06";3
3;"020904";"gmina wiejska";"gm. Kunice";"legnicki";"dolnośląskie";"67,84";"0,36";"30,77";"69,23";"0,00";"99,64";"2,05";"5,53";"39,34";"15,34";"0,17";"2,24";"0,08";"0,08";"34,81";"0,08";"0,28";5
3;"020905";"gmina wiejska";"gm. Legnickie Pole";"legnicki";"dolnośląskie";"66,01";"0,52";"15,38";"84,62";"0,00";"99,48";"1,73";"6,86";"52,05";"12,16";"0,16";"2,33";"0,12";"0,16";"24,16";"0,12";"0,16";6
3;"020906";"gmina wiejska";"gm. Miłkowice";"legnicki";"dolnośląskie";"64,27";"0,39";"30,77";"69,23";"0,00";"99,61";"2,16";"6,23";"46,60";"12,02";"0,24";"2,76";"0,00";"0,15";"29,43";"0,15";"0,27";8
3;"020907";"gmina miejsko-wiejska";"gm. Prochowice";"legnicki";"dolnośląskie";"58,39";"0,41";"42,86";"57,14";"0,00";"99,59";"1,43";"6,31";"50,33";"9,90";"0,15";"2,32";"0,12";"0,24";"28,88";"0,12";"0,21";6
3;"020908";"gmina wiejska";"gm. Ruja";"legnicki";"dolnośląskie";"52,87";"0,28";"0,00";"100,00";"0,00";"99,72";"1,41";"6,37";"61,20";"7,40";"0,00";"3,56";"0,19";"0,09";"19,49";"0,28";"0,00";3
2;"021001";"gmina miejska";"m. Lubań";"lubański";"dolnośląskie";"60,36";"0,31";"60,00";"40,00";"0,00";"99,69";"2,41";"4,72";"36,10";"17,58";"0,13";"1,51";"0,10";"0,15";"37,01";"0,08";"0,21";10
2;"021002";"gmina miejska";"m. Świeradów-Zdrój";"lubański";"dolnośląskie";"60,10";"0,15";"0,00";"100,00";"0,00";"99,85";"2,81";"4,75";"35,21";"13,63";"0,15";"1,70";"0,10";"0,10";"41,08";"0,34";"0,15";5
2;"021003";"gmina miejsko-wiejska";"gm. Leśna";"lubański";"dolnośląskie";"55,32";"0,37";"18,75";"81,25";"0,00";"99,63";"2,62";"5,40";"44,01";"15,12";"0,19";"2,03";"0,05";"0,16";"30,29";"0,07";"0,07";8
2;"021004";"gmina wiejska";"gm. Lubań";"lubański";"dolnośląskie";"58,73";"0,46";"50,00";"50,00";"0,00";"99,54";"1,20";"5,17";"43,01";"21,86";"0,17";"2,17";"0,03";"0,20";"26,03";"0,07";"0,10";8
2;"021005";"gmina miejsko-wiejska";"gm. Olszyna";"lubański";"dolnośląskie";"55,70";"0,64";"38,89";"61,11";"0,00";"99,36";"1,25";"5,48";"40,10";"21,30";"0,11";"1,97";"0,04";"0,07";"29,57";"0,11";"0,00";4
2;"021006";"gmina wiejska";"gm. Platerówka";"lubański";"dolnośląskie";"63,72";"0,87";"28,57";"71,43";"0,00";"99,13";"1,50";"8,01";"51,69";"12,02";"0,00";"3,13";"0,00";"0,88";"22,65";"0,00";"0,13";2
2;"021007";"gmina wiejska";"gm. Siekierczyn";"lubański";"dolnośląskie";"60,18";"0,38";"11,11";"88,89";"0,00";"99,62";"1,94";"4,94";"43,29";"17,23";"0,13";"2,41";"0,04";"0,17";"29,56";"0,13";"0,17";4
3;"021101";"gmina miejska";"m. Lubin";"lubiński";"dolnośląskie";"64,14";"0,26";"49,45";"50,55";"0,00";"99,74";"2,36";"7,20";"46,21";"11,65";"0,18";"1,60";"0,11";"0,16";"30,23";"0,08";"0,23";49
3;"021102";"gmina wiejska";"gm. Lubin";"lubiński";"dolnośląskie";"67,16";"0,21";"23,53";"76,47";"0,00";"99,79";"2,53";"7,67";"44,97";"13,53";"0,23";"1,79";"0,10";"0,12";"28,65";"0,15";"0,27";11
3;"021103";"gmina wiejska";"gm. Rudna";"lubiński";"dolnośląskie";"60,32";"0,38";"64,29";"35,71";"0,00";"99,62";"1,90";"6,75";"56,13";"11,32";"0,44";"1,98";"0,08";"0,11";"20,85";"0,11";"0,33";7
3;"021104";"gmina miejsko-wiejska";"gm. Ścinawa";"lubiński";"dolnośląskie";"59,14";"0,38";"35,29";"64,71";"0,00";"99,62";"1,69";"6,53";"60,95";"8,81";"0,11";"1,64";"0,18";"0,02";"19,76";"0,09";"0,22";8
2;"021201";"gmina miejsko-wiejska";"gm. Gryfów Śląski";"lwówecki";"dolnośląskie";"56,63";"0,35";"20,00";"80,00";"0,00";"99,65";"2,39";"4,53";"40,69";"17,87";"0,12";"2,14";"0,16";"0,16";"31,58";"0,14";"0,21";7
2;"021202";"gmina miejsko-wiejska";"gm. Lubomierz";"lwówecki";"dolnośląskie";"53,44";"0,35";"22,22";"77,78";"0,00";"99,65";"2,59";"5,15";"43,64";"14,41";"0,12";"2,51";"0,16";"0,27";"31,07";"0,00";"0,08";7
2;"021203";"gmina miejsko-wiejska";"gm. Lwówek Śląski";"lwówecki";"dolnośląskie";"57,46";"0,30";"52,17";"47,83";"0,00";"99,70";"2,26";"5,94";"40,45";"14,98";"0,27";"2,51";"0,13";"0,05";"33,18";"0,09";"0,14";14
2;"021204";"gmina miejsko-wiejska";"gm. Mirsk";"lwówecki";"dolnośląskie";"53,87";"0,52";"21,05";"78,95";"0,00";"99,48";"2,27";"4,95";"43,15";"16,71";"0,25";"2,11";"0,27";"0,36";"29,78";"0,05";"0,11";5
2;"021205";"gmina miejsko-wiejska";"gm. Wleń";"lwówecki";"dolnośląskie";"55,21";"0,58";"27,27";"72,73";"0,00";"99,42";"2,39";"5,90";"43,06";"12,76";"0,16";"2,82";"0,21";"0,16";"32,27";"0,11";"0,16";6
1;"021301";"gmina wiejska";"gm. Cieszków";"milicki";"dolnośląskie";"60,68";"0,31";"28,57";"71,43";"0,00";"99,69";"2,00";"7,21";"52,09";"12,94";"0,13";"3,43";"0,13";"0,09";"21,57";"0,00";"0,40";3
1;"021302";"gmina wiejska";"gm. Krośnice";"milicki";"dolnośląskie";"57,78";"0,22";"0,00";"100,00";"0,00";"99,78";"1,75";"6,23";"52,32";"12,49";"0,14";"2,21";"0,05";"0,16";"24,26";"0,08";"0,30";5
1;"021303";"gmina miejsko-wiejska";"gm. Milicz";"milicki";"dolnośląskie";"60,39";"0,24";"48,15";"51,85";"0,00";"99,76";"1,93";"5,58";"46,19";"12,21";"0,08";"2,45";"0,10";"0,10";"31,08";"0,14";"0,15";19
1;"021401";"gmina miejska";"m. Oleśnica";"oleśnicki";"dolnośląskie";"64,91";"0,36";"34,85";"65,15";"0,00";"99,64";"2,46";"6,18";"36,44";"16,26";"0,14";"1,62";"0,08";"0,15";"36,15";"0,17";"0,35";23
1;"021402";"gmina miejsko-wiejska";"gm. Bierutów";"oleśnicki";"dolnośląskie";"57,03";"0,27";"16,67";"83,33";"0,00";"99,73";"1,98";"6,18";"48,41";"16,22";"0,18";"2,01";"0,05";"0,14";"24,73";"0,02";"0,07";7
1;"021403";"gmina wiejska";"gm. Dobroszyce";"oleśnicki";"dolnośląskie";"60,90";"0,28";"11,11";"88,89";"0,00";"99,72";"1,39";"6,78";"46,02";"15,17";"0,12";"2,20";"0,09";"0,15";"27,67";"0,15";"0,25";3
1;"021404";"gmina wiejska";"gm. Dziadowa Kłoda";"oleśnicki";"dolnośląskie";"55,22";"0,55";"9,09";"90,91";"0,00";"99,45";"1,27";"6,49";"48,15";"13,19";"0,25";"3,96";"0,00";"0,30";"26,28";"0,10";"0,00";3
1;"021405";"gmina miejsko-wiejska";"gm. Międzybórz";"oleśnicki";"dolnośląskie";"56,25";"0,22";"40,00";"60,00";"0,00";"99,78";"1,25";"7,33";"41,73";"17,04";"0,09";"3,53";"0,04";"0,00";"28,85";"0,09";"0,04";4
1;"021406";"gmina wiejska";"gm. Oleśnica";"oleśnicki";"dolnośląskie";"60,80";"0,42";"29,63";"70,37";"0,00";"99,58";"1,77";"6,09";"43,05";"17,71";"0,20";"1,94";"0,09";"0,12";"28,85";"0,08";"0,09";8
1;"021407";"gmina miejsko-wiejska";"gm. Syców";"oleśnicki";"dolnośląskie";"61,60";"0,26";"42,86";"57,14";"0,00";"99,74";"2,02";"7,24";"36,79";"16,69";"0,19";"2,88";"0,10";"0,16";"33,68";"0,11";"0,12";12
1;"021408";"gmina miejsko-wiejska";"gm. Twardogóra";"oleśnicki";"dolnośląskie";"60,51";"0,47";"51,72";"48,28";"0,00";"99,53";"1,59";"6,60";"45,96";"15,53";"0,11";"1,90";"0,08";"0,15";"27,81";"0,08";"0,20";6
1;"021501";"gmina miejska";"m. Oława";"oławski";"dolnośląskie";"66,90";"0,27";"32,61";"67,39";"0,00";"99,73";"2,75";"7,32";"37,17";"13,59";"0,15";"1,83";"0,16";"0,13";"36,70";"0,05";"0,15";19
1;"021502";"gmina wiejska";"gm. Domaniów";"oławski";"dolnośląskie";"61,26";"0,47";"8,33";"91,67";"0,00";"99,53";"2,14";"7,06";"53,51";"13,79";"0,04";"2,42";"0,00";"0,08";"20,73";"0,04";"0,20";6
1;"021503";"gmina miejsko-wiejska";"gm. Jelcz-Laskowice";"oławski";"dolnośląskie";"65,62";"0,26";"26,67";"73,33";"0,00";"99,74";"1,94";"6,67";"44,68";"13,55";"0,23";"1,73";"0,12";"0,11";"30,65";"0,11";"0,19";13
1;"021504";"gmina wiejska";"gm. Oława";"oławski";"dolnośląskie";"67,89";"0,39";"32,26";"67,74";"0,00";"99,61";"2,00";"7,55";"45,97";"15,58";"0,10";"1,65";"0,08";"0,16";"26,68";"0,09";"0,14";13
3;"021601";"gmina miejsko-wiejska";"gm. Chocianów";"polkowicki";"dolnośląskie";"61,94";"0,36";"40,91";"59,09";"0,00";"99,64";"1,34";"8,13";"57,47";"11,53";"0,11";"1,95";"0,11";"0,11";"18,92";"0,10";"0,23";11
3;"021602";"gmina wiejska";"gm. Gaworzyce";"polkowicki";"dolnośląskie";"64,14";"0,67";"23,08";"76,92";"0,00";"99,33";"1,56";"7,38";"55,61";"13,20";"0,05";"2,60";"0,16";"0,05";"19,02";"0,10";"0,26";4
3;"021603";"gmina wiejska";"gm. Grębocice";"polkowicki";"dolnośląskie";"59,91";"0,60";"46,67";"53,33";"0,00";"99,40";"1,44";"7,07";"57,25";"12,03";"0,24";"2,08";"0,08";"0,28";"19,46";"0,00";"0,08";4
3;"021604";"gmina miejsko-wiejska";"gm. Polkowice";"polkowicki";"dolnośląskie";"61,22";"0,18";"21,74";"78,26";"0,00";"99,82";"2,50";"7,46";"48,77";"13,40";"0,19";"2,06";"0,07";"0,19";"25,10";"0,10";"0,16";15
3;"021605";"gmina miejsko-wiejska";"gm. Przemków";"polkowicki";"dolnośląskie";"55,72";"0,49";"33,33";"66,67";"0,00";"99,51";"2,39";"6,98";"54,66";"13,38";"0,19";"2,28";"0,05";"0,08";"19,69";"0,03";"0,27";7
3;"021606";"gmina wiejska";"gm. Radwanice";"polkowicki";"dolnośląskie";"61,89";"0,43";"50,00";"50,00";"0,00";"99,57";"1,34";"6,31";"52,85";"14,09";"0,22";"2,46";"0,04";"0,22";"22,13";"0,13";"0,22";2
1;"021701";"gmina wiejska";"gm. Borów";"strzeliński";"dolnośląskie";"63,81";"0,18";"0,00";"100,00";"0,00";"99,82";"1,40";"5,73";"56,70";"12,89";"0,33";"2,81";"0,00";"0,07";"19,54";"0,15";"0,37";3
1;"021702";"gmina wiejska";"gm. Kondratowice";"strzeliński";"dolnośląskie";"57,07";"0,61";"16,67";"83,33";"0,00";"99,39";"1,58";"4,03";"58,51";"9,02";"0,00";"2,04";"0,00";"0,15";"24,31";"0,15";"0,20";7
1;"021703";"gmina wiejska";"gm. Przeworno";"strzeliński";"dolnośląskie";"58,09";"0,58";"46,15";"53,85";"0,00";"99,42";"0,85";"4,55";"58,97";"11,42";"0,13";"2,77";"0,04";"0,00";"21,05";"0,18";"0,04";6
